coronavirus,11509377
covid19,2199035
covid,1764716
19,1723460
nan,1491438
china,1275471
people,923759
wuhan,858214
virus,832420
via,788287
amp,651900
cases,611345
us,603519
trump,567754
new,564884
news,484923
like,463120
get,453156
outbreak,450391
si,442443
di,432393
health,417589
il,415784
pandemic,389190
one,377141
world,371009
time,361532
corona,337118
need,317282
spread,312790
help,307001
home,306053
please,297054
chinese,292034
know,290771
first,284718
et,283724
da,273873
000,273169
na,269191
crisis,266889
due,266347
would,264261
stay,252772
could,252000
go,249571
est,248399
des,246272
per,241836
realdonaldtrump,241429
die,241235
2020,239000
says,237306
see,236401
going,235789
du,229260
government,228099
good,227352
take,226482
test,225867
death,225349
casos,223720
positive,219002
day,213751
still,209929
hospital,209382
stop,205776
case,205421
may,205336
confirmed,203914
think,201668
even,200508
deaths,200458
work,197840
many,196778
non,191506
covid_19,190287
country,189592
italy,189291
live,187763
pour,186150
global,185596
right,183186
flu,182824
youtube,182505
today,181449
quarantine,180343
covidー19,179900
make,179665
10,176734
let,174121
also,171979
well,171221
back,170416
lockdown,169863
said,168199
pas,167663
really,166616
che,166529
got,165917
days,165596
social,165572
infected,165510
say,165249
coronaviruspandemic,164769
re,164727
uk,162750
public,162438
come,161560
response,159347
everyone,158681
latest,158270
man,157358
president,156213
state,156033
way,155778
coronavirusoutbreak,155164
patients,153586
fight,152873
video,152084
want,151285
amid,150299
much,148799
the,148716
testing,147509
keep,146907
care,145940
read,145126
times,144244
safe,142915
tested,142795
real,142659
support,142268
update,141027
va,140657
gt,140507
two,139604
total,139260
medical,137155
italia,136961
caso,136463
com,134692
gente,132155
tests,131605
media,130193
novel,129695
india,129641
emergency,129339
every,129199
em,128160
mundo,128156
last,127214
must,126621
qui,126344
hope,126250
vía,126179
au,125940
não,125814
20,125586
une,125545
great,124725
covid2019,124118
ser,123434
salud,122593
year,122313
travel,121717
sa,120737
casa,120260
eu,119568
life,118911
getting,118818
sur,118561
week,118549
number,118316
updates,117582
cuarentena,116818
disease,116496
risk,116085
symptoms,115968
país,115909
around,115656
countries,114538
americans,114486
god,114407
thank,114350
pandemia,113887
thanks,113864
mais,113454
je,113375
business,112377
workers,111979
face,111932
ne,111487
family,110584
gobierno,109935
twitter,109338
daily,108643
thing,108531
already,107022
free,106810
made,106602
2019,106539
america,106069
dan,105922
breaking,105647
weeks,104916
look,104557
use,104047
self,103889
cdc,103724
personas,103677
working,103333
usa,103039
solo,102431
better,102240
city,102207
dans,101766
ce,101562
dr,101531
plus,101443
ahora,101215
information,100641
call,100580
100,100502
shit,100443
to,99586
fears,99241
next,99227
sars,99177
spreading,99042
march,98976
economy,98721
watch,98587
medidas,98461
ca,98318
iran,98312
cruise,98162
house,98119
toll,97736
person,97722
true,97192
best,97150
situation,96533
south,96384
sick,96076
never,95333
van,94802
24,94630
france,94361
love,94244
vaccine,93993
impact,93734
another,93642
bill,93603
masks,93518
give,93400
14,92941
japan,92793
trying,92430
der,91621
since,91567
